PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,Satisfactory
38.39,46.68,7.19,0.91,10.37,29.16,0.57,4.46,0.18,Satisfactory
43.23,50.83,7.14,1.07,10.48,28.95,0.57,4.53,0.41,Satisfactory
33.82,41.03,7.09,0.36,9.73,28.41,0.48,4.63,0.3,Satisfactory
27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,Satisfactory
27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,Good
31.76,41.51,3.0,1.48,5.24,23.42,0.47,5.04,8.76,Satisfactory
43.8,53.59,2.97,1.31,4.97,23.41,0.48,5.3,9.96,Satisfactory
35.48,44.02,3.01,0.83,4.64,24.85,0.49,5.32,6.43,Satisfactory
51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,Satisfactory
33.24,40.33,2.93,0.13,3.65,18.55,0.37,5.41,5.64,Satisfactory
35.34,41.55,2.98,0.16,3.71,20.24,0.32,5.63,5.73,Satisfactory
47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,Satisfactory
53.64,62.86,2.96,0.17,3.77,25.43,0.44,6.75,6.44,Satisfactory
54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,Satisfactory
44.64,53.86,2.94,0.11,3.59,28.26,0.4,7.34,6.42,Satisfactory
51.33,60.03,2.92,0.35,3.89,29.89,0.44,7.69,8.76,Satisfactory
34.54,41.95,2.93,0.13,3.64,28.47,0.36,7.8,7.99,Satisfactory
39.47,48.07,2.93,0.24,3.79,29.05,0.42,7.67,7.4,Satisfactory
27.27,33.9,2.95,0.25,3.8,30.99,0.4,7.9,6.74,Satisfactory
38.6,49.19,2.98,0.26,3.94,32.95,0.45,8.11,6.12,Satisfactory
36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,Satisfactory
30.35,39.84,2.9,0.21,3.75,23.37,0.29,8.25,10.87,Satisfactory
24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,Good
26.47,33.51,2.96,0.08,3.5,26.0,0.31,8.79,5.76,Good
35.13,43.65,2.96,0.15,3.69,25.1,0.31,8.49,7.94,Good
33.19,42.17,2.92,0.3,3.85,22.71,0.3,8.78,13.38,Satisfactory
24.92,31.74,2.97,0.18,3.74,23.73,0.27,8.69,9.67,Good
39.15,45.79,3.32,0.31,4.47,22.95,0.39,7.81,7.66,Satisfactory
38.01,45.39,4.41,0.13,5.7,27.97,0.41,4.52,5.62,Satisfactory
30.06,35.53,4.37,0.17,5.74,30.0,0.37,4.77,6.71,Satisfactory
21.7,27.32,4.33,0.12,5.6,26.24,0.27,4.54,8.47,Good
28.33,33.24,6.24,0.39,8.44,28.53,0.36,5.3,10.16,Good
46.26,49.81,10.26,0.45,14.04,31.28,0.47,5.66,2.97,Satisfactory
40.72,48.87,11.4,0.51,15.65,30.38,0.42,5.71,0.72,Satisfactory
22.63,28.06,11.4,0.33,15.49,23.59,0.28,5.52,0.79,Good
15.06,19.85,11.4,0.36,15.51,14.87,0.22,5.43,2.46,Good
19.5,25.12,11.44,0.25,15.38,17.65,0.25,6.06,1.17,Good
10.48,14.73,11.44,0.11,15.2,19.03,0.22,6.4,1.27,Good
11.79,18.9,11.47,0.95,16.08,19.13,0.25,6.79,8.71,Good
9.53,20.94,11.54,0.75,15.94,16.64,0.27,6.62,7.67,Good
8.53,11.26,11.47,0.34,15.48,15.61,0.24,6.61,1.3,Good
10.42,14.56,11.56,0.26,15.49,16.78,0.26,6.96,1.75,Good
5.74,9.67,11.53,0.34,15.57,12.4,0.21,6.79,1.16,Good
3.14,5.83,11.51,0.2,14.68,17.91,0.18,7.47,0.55,Good
1.97,4.06,11.54,0.13,15.25,12.44,0.18,6.98,1.78,Good
5.4,9.88,11.62,0.27,15.57,17.69,0.25,7.21,0.22,Good
4.49,8.9,11.7,0.3,15.65,14.49,0.24,6.6,1.55,Good
